 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text= Alle glider i tis, falder om, slår hovedet, der går ild i det, der kan gå ild i, hvilket man allerede ved, når man første gang kaster et blik på det nymalede flotte portræt af svigerfar.
1-1	Alle	al	PI:p-u#:--:----	
74-12	et	en	PI:s-un:--:----	
74-13	helt	hel	AD:----:--:p---	
74-14	tomt	tom	AC:siun:--:p---	
74-15	blik	blik|blik-1-4|blik-1-4a|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-1-3|blik-1-2|blik-1-1	NC:siun:--:----	
74-16	i	i	T-:----:--:----	
74-17	øjnene	øje	NC:pdu#:--:----	
74-18	,	,	ZD	
74-19	når	når	CS:----:--:----	
74-20	deres	deres	PO:#--#:--:-3np	
74-21	blikke	blik	NC:piu#:--:----	
74-22	en	en	PI:s-uc:--:----	
74-23	sjælden	sjælden	AC:siuc:--:p---	
74-24	gang	gang	NC:siuc:--:----	
74-25	mødes	møde	VF:----:sp:----	
74-26	.	.	ZP	

#id=75
#text= Som Susan Wright, professor ved DPU, Aarhus Universitet, har udtrykt det, er universitetsfolk begyndt at vende blikket opad mod signaler fra lederne - på bekostning af deres eget arbejde med stoffet.
75-1	Som	som	US:----:--:----	
75-2	Susan	Susan	NP:siu#:--:----	
75-3	Wright	Wright	NP:siu#:--:----	
75-4	,	,	ZD	
75-5	professor	professor	NC:siuc:--:----	
75-6	ved	ved	T-:----:--:----	
75-7	DPU	DPU	NP:siu#:--:----	
75-8	,	,	ZD	
75-9	Aarhus	Aarhus	NP:siu#:--:----	
75-10	Universitet	universitet	NC:siun:--:----	
75-11	,	,	ZD	
75-12	har	have	VF:----:sa:----	
75-13	udtrykt	udtrykke	VT:siu#:t-:----	
75-14	det	det	PP:s-un:--:-3n-	
75-15	,	,	ZD	
75-16	er	være	VF:----:sa:----	
75-17	universitetsfolk	universitetsfolk	NC:siun:--:----	
75-18	begyndt	begynde	VT:siu#:t-:----	
75-19	at	at	UI:----:--:----	
75-20	vende	vende	VI:----:-a:----	
75-21	blikket	blik|blik-1-3|blik-1-4|blik-1-4a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-2-1-1a|blik-1-2|blik-1-1	NC:sdun:--:----	
75-22	opad	opad	D-:----:--:u---	
75-23	mod	mod	T-:----:--:----	
75-24	signaler	signal	NC:piu#:--:----	
75-25	fra	fra	T-:----:--:----	
75-26	lederne	leder	NC:pdu#:--:----	
75-27	-	-	NC:piu#:--:----	
75-28	på	på	T-:----:--:----	
75-29	bekostning	bekostning	NC:siuc:--:----	
75-30	af	af	T-:----:--:----	
75-31	deres	deres	PO:#--#:--:-3np	
75-32	eget	egen	AC:s§un:--:p---	
75-33	arbejde	arbejde	NC:siun:--:----	
75-34	med	med	T-:----:--:----	
75-35	stoffet	stof	NC:sdun:--:----	
75-36	.	.	ZP	

#id=76
#text= Et blik på fordelingen af efterlønnere på brancher viser, at det fortrinsvis er ufaglærte og fag med hård nedslidning, der benytter efterlønnen.
76-1	Et	en	PI:s-un:--:----	
76-2	blik	blik|blik-F-indre-blik|blik-1-2|blik-1-3|blik-1-4|blik-1-4a|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-1-1	NC:siun:--:----	
76-3	på	på	T-:----:--:----	
76-4	fordelingen	fordeling	NC:sduc:--:----	
76-5	af	af	T-:----:--:----	
76-6	efterlønnere	efterlønner	NC:piu#:--:----	
76-7	på	på	T-:----:--:----	
76-8	brancher	branche	NC:piu#:--:----	
76-9	viser	vise	VF:----:sa:----	
76-10	,	,	ZD	
76-11	at	at	CS:----:--:----	
76-12	det	det	PP:s-un:--:-3n-	
76-13	fortrinsvis	fortrinsvis	AD:----:--:p---	
76-14	er	være	VF:----:sa:----	
76-15	ufaglærte	ufaglært	AC:p#u#:--:p---	
76-16	og	og	CC:----:--:----	
76-17	fag	fag	NC:siun:--:----	
76-18	med	med	T-:----:--:----	
76-19	hård	hård	AC:siuc:--:p---	
76-20	nedslidning	nedslidning	NC:siuc:--:----	
76-21	,	,	ZD	
76-22	der	der	US:----:--:----	
76-23	benytter	benytte	VF:----:sa:----	
76-24	efterlønnen	efterløn	NC:sduc:--:----	
76-25	.	.	ZP	

#id=77
#text=EU-kommissionen har kastet et blik på statsbudgetterne i sytten medlemslande og beder nu seks af dem om at styrke deres økonomi.
77-1	EU	EU	NP:siu#:--:----	
77-2	-	-	ZH	
77-3	kommissionen	kommission	NC:sduc:--:----	
77-4	har	have	VF:----:sa:----	
77-5	kastet	kaste	VT:siu#:t-:----	
77-6	et	en	PI:s-un:--:----	
77-7	blik	blik|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-1-4|blik-1-4a|blik-2-1-1a|blik-1-2|blik-1-3|blik-1-1|blik-F-indre-blik	NC:siun:--:----	
77-8	på	på	T-:----:--:----	
77-9	statsbudgetterne	statsbudget	NC:pdu#:--:----	
77-10	i	i	T-:----:--:----	
77-11	sytten	sytten	LC:--u-:--:----	
77-12	medlemslande	medlemsland	NC:piu#:--:----	
77-13	og	og	CC:----:--:----	
77-14	beder	bede	VF:----:sa:----	
77-15	nu	nu	D-:----:--:u---	
77-16	seks	seks	LC:--u-:--:----	
77-17	af	af	T-:----:--:----	
77-18	dem	de	PP:p-u#:--:-3n-	
77-19	om	om	T-:----:--:----	
77-20	at	at	UI:----:--:----	
77-21	styrke	styrke	VI:----:-a:----	
77-22	deres	deres	PO:#--#:--:-3np	
77-23	økonomi	økonomi	NC:siuc:--:----	
77-24	.	.	ZP	

#id=78
#text= "Kodeordet hedder god gammeldags skamfølelse med blussende røde kinder, nedslåede blikke og krummede tæer.
78-1	"	"	ZI	
78-2	Kodeordet	kodeord	NC:sdun:--:----	
78-3	hedder	hedde	VF:----:sa:----	
78-4	god	god	AC:siuc:--:p---	
78-5	gammeldags	gammeldags	AC:§§u§:--:p---	
78-6	skamfølelse	skamfølelse	NC:siuc:--:----	
78-7	med	med	T-:----:--:----	
78-8	blussende	blusse	VP:##u#:s-:----	
78-9	røde	rød	AC:p#u#:--:p---	
78-10	kinder	kind	NC:piu#:--:----	
78-11	,	,	ZD	
78-12	nedslåede	nedslå	VP:p#u#:t-:----	
78-13	blikke	blik|blik-1-4|blik-1-4a|blik-2-1-1a|blik-F-få-blikket|blik-F-indre-blik|blik-F-finde-nåde-for-nogens-blik|blik-1-1|blik-1-2|blik-1-3	NC:piu#:--:----	
78-14	og	og	CC:----:--:----	
78-15	krummede	krumme	VP:p#u#:t-:----	
78-16	tæer	tå	NC:piu#:--:----	
78-17	.	.	ZP	

#id=79
#text= Der klippes hurtigt og overraskende tæt, farverne er mættede og intense, mens vores vært stiller store spørgsmål med blikket stift rettet mod seerne.
79-1	Der	der	US:----:--:----	
79-2	klippes	klippe	VF:----:sp:----	
79-3	hurtigt	hurtig	AD:----:--:p---	
79-4	og	og	CC:----:--:----	
79-5	overraskende	overraske	VP:##u#:s-:----	
79-6	tæt	tæt	AC:siu§:--:p---	
79-7	,	,	ZD	
79-8	farverne	farve	NC:pdu#:--:----	
79-9	er	være	VF:----:sa:----	
79-10	mættede	mætte	VP:p#u#:t-:----	
79-11	og	og	CC:----:--:----	
79-12	intense	intens	AC:p#u#:--:p---	
79-13	,	,	ZD	
79-14	mens	mens	CS:----:--:----	
79-15	vores	vores	PO:#--#:--:-1np	
79-16	vært	vært	NC:siuc:--:----	
79-17	stiller	stille	VF:----:sa:----	
79-18	store	stor	AC:p#u#:--:p---	
79-19	spørgsmål	spørgsmål	NC:piu#:--:----	
79-20	med	med	T-:----:--:----	
79-21	blikket	blik|blik-1-4|blik-1-4a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-2-1-1a|blik-1-2|blik-1-1|blik-1-3	NC:sdun:--:----	
79-22	stift	stiv	AD:----:--:p---	
79-23	rettet	rette	VT:siu#:t-:----	
79-24	mod	mod	T-:----:--:----	
79-25	seerne	seer	NC:pdu#:--:----	
79-26	.	.	ZP	

#id=80
#text= Min sidemand sender dræbende blikke mod først mig og siden min landsmand oppe på lærredet.
80-1	Min	min	PO:s--c:--:-1ns	
80-2	sidemand	sidemand	NC:siuc:--:----	
80-3	sender	sende	VF:----:sa:----	
80-4	dræbende	dræbe	VP:##u#:s-:----	
80-5	blikke	blik|blik-1-2|blik-1-3|blik-1-4|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-1-4a|blik-1-1	NC:piu#:--:----	
80-6	mod	mod	T-:----:--:----	
80-7	først	først	D-:----:--:u---	
80-8	mig	mig	NC:siun:--:----	
80-9	og	og	CC:----:--:----	
80-10	siden	siden	CS:----:--:----	
80-11	min	min	PO:s--c:--:-1ns	
80-12	landsmand	landsmand	NC:siuc:--:----	
80-13	oppe	oppe	D-:----:--:u---	
80-14	på	på	T-:----:--:----	
80-15	lærredet	lærred	NC:sdun:--:----	
80-16	.	.	ZP	

#id=81
#text= Og nu dukker fortællingen om det indadvendte bliks smukke harmonier så op igen, når Justin Vernon atter udgiver sange under navnet Bon Iver.
81-1	Og	og	CC:----:--:----	
81-2	nu	nu	D-:----:--:u---	
81-3	dukker	dukke	VF:----:sa:----	
81-4	fortællingen	fortælling	NC:sduc:--:----	
81-5	om	om	T-:----:--:----	
81-6	det	den	PM:s-un:--:----	
81-7	indadvendte	indadvendt	AC:sdu#:--:p---	
81-8	bliks	blik|blik-F-indre-blik|blik-1-2|blik-1-3|blik-1-4a|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-1-4|blik-1-1	NC:sign:--:----	
81-9	smukke	smuk	AC:p#u#:--:p---	
81-10	harmonier	harmoni	NC:piu#:--:----	
81-11	så	så	D-:----:--:u---	
81-12	op	op	D-:----:--:u---	
81-13	igen	igen	D-:----:--:u---	
81-14	,	,	ZD	
81-15	når	når	CS:----:--:----	
81-16	Justin	Justin	NP:siu#:--:----	
81-17	Vernon	Vernon	NP:siu#:--:----	
81-18	atter	atter	D-:----:--:u---	
81-19	udgiver	udgive	VF:----:sa:----	
81-20	sange	sang	NC:piu#:--:----	
81-21	under	under	T-:----:--:----	
81-22	navnet	navn	NC:sdun:--:----	
81-23	Bon	bon	D-:----:--:u---	
81-24	Iver	iver	NC:siuc:--:----	
81-25	.	.	ZP	

#id=82
#text= For hvis man virkelig vil vide, hvad danskhed er, hvis man ønsker at kende den fundamentale (og måske en smule overdrevne) danskhed i modsætning til den overfladiske definition, man bruger i Danmark, så skal man bare vende blikket sydpå (lad gå da, sydvest fra København) og så har man noget, man kan sætte kursen efter, vel vidende, at de hernede nok altid vil tage skridtet videre, fordi de, når de er i dansk humør, udlever den danske kultur den lille bid mere end danskerne, hvilket selvfølgelig gør dem lidt komiske at se på for alle andre.
82-1	For	for	CC:----:--:----	
82-2	hvis	hvis	CS:----:--:----	
82-3	man	man	PI:#-uc:--:----	
82-4	virkelig	virkelig	D-:----:--:u---	
82-5	vil	ville	VF:----:sa:----	
82-6	vide	vide	VI:----:-a:----	
82-7	,	,	ZD	
82-8	hvad	hvad	PR:s-u#:--:----	
82-9	danskhed	danskhed	NC:siuc:--:----	
82-10	er	være	VF:----:sa:----	
82-11	,	,	ZD	
82-12	hvis	hvis	CS:----:--:----	
82-13	man	man	PI:#-uc:--:----	
82-14	ønsker	ønske	VF:----:sa:----	
82-15	at	at	UI:----:--:----	
82-16	kende	kende	VI:----:-a:----	
82-17	den	den	PM:s-uc:--:----	
82-18	fundamentale	fundamental	AC:sdu#:--:p---	
82-19	(	(	ZD	
82-20	og	og	CC:----:--:----	
82-21	måske	måske	D-:----:--:u---	
82-22	en	en	PI:s-uc:--:----	
82-23	smule	smule	NC:siuc:--:----	
82-24	overdrevne	overdreven	AC:p#u#:--:p---	
82-25	)	)	ZD	
82-26	danskhed	danskhed	NC:siuc:--:----	
82-27	i	i	----:--:----	
82-28	modsætning	modsætning	NC:siuc:--:----	
82-29	til	til	T-:----:--:----	
82-30	den	den	PM:s-uc:--:----	
82-31	overfladiske	overfladisk	AC:sdu#:--:p---	
82-32	definition	definition	NC:siuc:--:----	
82-33	,	,	ZD	
82-34	man	man	PI:#-uc:--:----	
82-35	bruger	bruge	VF:----:sa:----	
82-36	i	i	T-:----:--:----	
82-37	Danmark	Danmark	NP:siu#:--:----	
82-38	,	,	ZD	
82-39	så	så	D-:----:--:u---	
82-40	skal	skulle	VF:----:sa:----	
82-41	man	man	PI:#-uc:--:----	
82-42	bare	bare	D-:----:--:u---	
82-43	vende	vende	VI:----:-a:----	
82-44	blikket	blik|blik-1-4|blik-1-4a|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-1-3|blik-1-2|blik-1-1	NC:sdun:--:----	
82-45	sydpå	sydpå	D-:----:--:u---	
82-46	(	(	ZD	
82-47	lad	lade	VM:----:--:----	
82-48	gå	gå	VI:----:-a:----	
82-49	da	da	D-:----:--:u---	
82-50	,	,	ZD	
82-51	sydvest	sydvest	D-:----:--:u---	
82-52	fra	fra	T-:----:--:----	
82-53	København	København	NP:siu#:--:----	
82-54	)	)	ZD	
82-55	og	og	CC:----:--:----	
82-56	så	så	D-:----:--:u---	
82-57	har	have	VF:----:sa:----	
82-58	man	man	PI:#-uc:--:----	
82-59	noget	nogen	PI:s-un:--:----	
82-60	,	,	ZD	
82-61	man	man	PI:#-uc:--:----	
82-62	kan	kunne	VF:----:sa:----	
82-63	sætte	sætte	VI:----:-a:----	
82-64	kursen	kurs	NC:sduc:--:----	
82-65	efter	efter	T-:----:--:----	
82-66	,	,	ZD	
82-67	vel	vel	D-:----:--:u---	
82-68	vidende	vidende	NC:siun:--:----	
82-69	,	,	ZD	
82-70	at	at	CS:----:--:----	
82-71	de	de	PP:p-n#:--:-3n-	
82-72	hernede	hernede	D-:----:--:u---	
82-73	nok	nok	D-:----:--:u---	
82-74	altid	altid	D-:----:--:u---	
82-75	vil	ville	VF:----:sa:----	
82-76	tage	tage	VI:----:-a:----	
82-77	skridtet	skridte	VT:siu#:t-:----	
82-78	videre	videre	D-:----:--:u---	
82-79	,	,	ZD	
82-80	fordi	fordi	CS:----:--:----	
82-81	de	de	PP:p-n#:--:-3n-	
82-82	,	,	ZD	
82-83	når	når	CS:----:--:----	
82-84	de	de	PP:p-n#:--:-3n-	
82-85	er	være	VF:----:sa:----	
82-86	i	i	T-:----:--:----	
82-87	dansk	dansk	AC:siu§:--:p---	
82-88	humør	humør	NC:siun:--:----	
82-89	,	,	ZD	
82-90	udlever	udleve	VF:----:sa:----	
82-91	den	den	PM:s-uc:--:----	
82-92	danske	dansk	AC:sdu#:--:p---	
82-93	kultur	kultur	NC:siuc:--:----	
82-94	den	den	PM:s-uc:--:----	
82-95	lille	lille	AC:s§u§:--:p---	
82-96	bid	bid	NC:siun:--:----	
82-97	mere	megen	AD:----:--:c---	
82-98	end	end	CS:----:--:----	
82-99	danskerne	dansker	NC:pdu#:--:----	
82-100	,	,	ZD	
82-101	hvilket	hvilken	PR:s-un:--:----	
82-102	selvfølgelig	selvfølgelig	D-:----:--:u---	
82-103	gør	gøre	VF:----:sa:----	
82-104	dem	de	PP:p-u#:--:-3n-	
82-105	lidt	lidt	AD:----:--:p---	
82-106	komiske	komisk	AC:p#u#:--:p---	
82-107	at	at	UI:----:--:----	
82-108	se	se	VI:----:-a:----	
82-109	på	på	D-:----:--:u---	
82-110	for	for	T-:----:--:----	
82-111	alle	al	PI:p-u#:--:----	
82-112	andre	anden	PI:p-u#:--:----	
82-113	.	.	ZP	

#id=83
#text=Den krølhårede sanger og sangskriver med det søvnige blik er en drømmer, der på  sit nye og sjette album igen viser sig som en musiker med slør i kanten af sine folkede sange og en glødende melodisk midte, der er svær at slukke eller slide op - gennemlytning efter gennemlytning.
83-1	Den	den	PM:s-uc:--:----	
83-2	krølhårede	krølhåret	AC:sdu#:--:p---	
83-3	sanger	sanger	NC:siuc:--:----	
83-4	og	og	CC:----:--:----	
83-5	sangskriver	sangskriver	NC:siuc:--:----	
83-6	med	med	T-:----:--:----	
83-7	det	den	PM:s-un:--:----	
83-8	søvnige	søvnig	AC:sdu#:--:p---	
83-9	blik	blik|blik-1-2|blik-1-1|blik-1-3|4|blik-1-4a|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik	NC:siun:--:----	
83-10	er	være	VF:----:sa:----	
83-11	en	en	PI:s-uc:--:----	
83-12	drømmer	drømmer	NC:siuc:--:----	
83-13	,	,	ZD	
83-14	der	der	US:----:--:----	
83-15	på	på	T-:----:--:----	
83-16	sit	sin	PO:s--n:--:-3ys	
83-17	nye	ny	AC:sdu#:--:p---	
83-18	og	og	CC:----:--:----	
83-19	sjette	seks	LO:--u#:--:----	
83-20	album	album	NC:siun:--:----	
83-21	igen	igen	D-:----:--:u---	
83-22	viser	vise	VF:----:sa:----	
83-23	sig	sig	PP:#-u#:--:-3y-	
83-24	som	som	US:----:--:----	
83-25	en	en	PI:s-uc:--:----	
83-26	musiker	musiker	NC:siuc:--:----	
83-27	med	med	T-:----:--:----	
83-28	slør	slør	NC:siun:--:----	
83-29	i	i	T-:----:--:----	
83-30	kanten	kant	NC:sduc:--:----	
83-31	af	af	T-:----:--:----	
83-32	sine	sin	PO:p--#:--:-3ys	
83-33	folkede	folke	VP:p#u#:t-:----	
83-34	sange	sang	NC:piu#:--:----	
83-35	og	og	CC:----:--:----	
83-36	en	en	PI:s-uc:--:----	
83-37	glødende	gløde	VP:##u#:s-:----	
83-38	melodisk	melodisk	AC:siu§:--:p---	
83-39	midte	midte	NC:siuc:--:----	
83-40	,	,	ZD	
83-41	der	der	US:----:--:----	
83-42	er	være	VF:----:sa:----	
83-43	svær	svær	AC:siuc:--:p---	
83-44	at	at	UI:----:--:----	
83-45	slukke	slukke	VI:----:-a:----	
83-46	eller	eller	CC:----:--:----	
83-47	slide	slide	NC:siuc:--:----	
83-48	op	op	D-:----:--:u---	
83-49	-	-	NC:piu#:--:----	
83-50	gennemlytning	gennemlytning	NC:siuc:--:----	
83-51	efter	efter	T-:----:--:----	
83-52	gennemlytning	gennemlytning	NC:siuc:--:----	
83-53	.	.	ZP	

#id=84
#text= Wards venligt raspende og bivoksvarme stemme, der kan få blikket til at svømme ufokuseret hen hos netop enhver kontorius.
84-1	Wards	Wards	NP:sig#:--:----	
84-2	venligt	venlig	AD:----:--:p---	
84-3	raspende	raspe	VP:##u#:s-:----	
84-4	og	og	CC:----:--:----	
84-5	bivoksvarme	bivoksvarm	AC:sdu#:--:p---	
84-6	stemme	stemme	NC:siuc:--:----	
84-7	,	,	ZD	
84-8	der	der	US:----:--:----	
84-9	kan	kunne	VF:----:sa:----	
84-10	få	få	VI:----:-a:----	
84-11	blikket	blik|blik-1-2|blik-1-3|blik-1-4|blik-1-4a|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-1-1	NC:sdun:--:----	
84-12	til	til	T-:----:--:----	
84-13	at	at	UI:----:--:----	
84-14	svømme	svømme	VI:----:-a:----	
84-15	ufokuseret	ufokusere	VT:siu#:t-:----	
84-16	hen	hen	D-:----:--:u---	
84-17	hos	hos	T-:----:--:----	
84-18	netop	netop	D-:----:--:u---	
84-19	enhver	enhver	PI:s-uc:--:----	
84-20	kontorius	kontorius	NC:siuc:--:----	
84-21	.	.	ZP	

#id=85
#text= Det er dem, der tilbyder et blik ind i vores værste mareridt
85-1	Det	det	PP:s-un:--:-3n-	
85-2	er	være	VF:----:sa:----	
85-3	dem	de	PP:p-u#:--:-3n-	
85-4	,	,	ZD	
85-5	der	der	US:----:--:----	
85-6	tilbyder	tilbyde	VF:----:sa:----	
85-7	et	en	PI:s-un:--:----	
85-8	blik	blik|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-F-indre-blik|blik-F-få-blikket|blik-1-3|blik-1-4|blik-1-4a|blik-1-2|blik-1-1	NC:siun:--:----	
85-9	ind	ind	D-:----:--:u---	
85-10	i	i	T-:----:--:----	
85-11	vores	vores	PO:#--#:--:-1np	
85-12	værste	slem	AC:§du§:--:s---	
85-13	mareridt	mareridt	NC:siun:--:----	

#id=86
#text=daggryet kom med brustent blik,
86-1	daggryet	daggry	NC:sdun:--:----	
86-2	kom	komme	VF:----:ta:----	
86-3	med	med	T-:----:--:----	
86-4	brustent	brusten	AC:siun:--:p---	
86-5	blik	blik|blik-1-4|blik-1-4a|blik-2-1-1a|blik-F-få-blikket|blik-F-indre-blik|blik-F-finde-nåde-for-nogens-blik|blik-1-1|blik-1-2|blik-1-3	NC:siun:--:----	
86-6	,	,	ZD	

#id=87
#text=Man ser for sit indre blik, hvordan et retsmøde forløber med deltagelse af den sædvanlige dommer, den sædvanlige jurist fra PET og den særlige advokat, der bare spiller med, og som de to andre aktører kender fra tidligere tilsvarende lejligheder.
87-1	Man	man	PI:#-uc:--:----	
87-2	ser	se	VF:----:sa:----	
87-3	for	for	T-:----:--:----	
87-4	sit	sin	PO:s--n:--:-3ys	
87-5	indre	indre	AC:§§u§:--:p---	
87-6	blik	blik|blik-1-4a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-2-1-1a|blik-1-2|blik-1-3|blik-1-4|blik-1-1	NC:siun:--:----	
87-7	,	,	ZD	
87-8	hvordan	hvordan	D-:----:--:u---	
87-9	et	en	PI:s-un:--:----	
87-10	retsmøde	retsmøde	NC:siun:--:----	
87-11	forløber	forløbe	VF:----:sa:----	
87-12	med	med	T-:----:--:----	
87-13	deltagelse	deltagelse	NC:siuc:--:----	
87-14	af	af	T-:----:--:----	
87-15	den	den	PM:s-uc:--:----	
87-16	sædvanlige	sædvanlig	AC:sdu#:--:p---	
87-17	dommer	dommer	NC:siuc:--:----	
87-18	,	,	ZD	
87-19	den	den	PM:s-uc:--:----	
87-20	sædvanlige	sædvanlig	AC:sdu#:--:p---	
87-21	jurist	jurist	NC:siuc:--:----	
87-22	fra	fra	T-:----:--:----	
87-23	PET	PET	NP:siu#:--:----	
87-24	og	og	CC:----:--:----	
87-25	den	den	PM:s-uc:--:----	
87-26	særlige	særlig	AC:sdu#:--:p---	
87-27	advokat	advokat	NC:siuc:--:----	
87-28	,	,	ZD	
87-29	der	der	US:----:--:----	
87-30	bare	bare	D-:----:--:u---	
87-31	spiller	spille	VF:----:sa:----	
87-32	med	med	T-:----:--:----	
87-33	,	,	ZD	
87-34	og	og	CC:----:--:----	
87-35	som	som	US:----:--:----	
87-36	de	den	PM:p-u#:--:----	
87-37	to	to	LC:--u-:--:----	
87-38	andre	anden	PI:p-u#:--:----	
87-39	aktører	aktør	NC:piu#:--:----	
87-40	kender	kende	VF:----:sa:----	
87-41	fra	fra	T-:----:--:----	
87-42	tidligere	tidlig	AD:----:--:c---	
87-43	tilsvarende	tilsvarende	AC:§§u§:--:p---	
87-44	lejligheder	lejlighed	NC:piu#:--:----	
87-45	.	.	ZP	

#id=88
#text= Søvndal er den sjældne type politiker, som med et veludviklet blik for egne styrker og omgivelsernes svagheder tør sætte sig mål, som ligger uden for det, som de fleste anser for muligt.
88-1	Søvndal	Søvndal	NP:siu#:--:----	
88-2	er	være	VF:----:sa:----	
88-3	den	den	PM:s-uc:--:----	
88-4	sjældne	sjælden	AC:sdu#:--:p---	
88-5	type	type	NC:siuc:--:----	
88-6	politiker	politiker	NC:siuc:--:----	
88-7	,	,	ZD	
88-8	som	som	US:----:--:----	
88-9	med	med	T-:----:--:----	
88-10	et	en	PI:s-un:--:----	
88-11	veludviklet	veludviklet	AC:siu§:--:p---	
88-12	blik	blik|blik-F-få-blikket|blik-F-indre-blik|blik-1-1|blik-1-2|blik-1-3|blik-1-4|blik-1-4a|ik-2-1-1a|blik-F-finde-nåde-for-nogens-blik	:--:----	
88-13	for	for	T-:----:--:----	
88-14	egne	egen	AC:p#u#:--:p---	
88-15	styrker	styrke	NC:piu#:--:----	
88-16	og	og	CC:----:--:----	
88-17	omgivelsernes	omgivelse	NC:pdg#:--:----	
88-18	svagheder	svaghed	NC:piu#:--:----	
88-19	tør	turde	VF:----:sa:----	
88-20	sætte	sætte	VI:----:-a:----	
88-21	sig	sig	PP:#-u#:--:-3y-	
88-22	mål	mål	NC:siun:--:----	
88-23	,	,	ZD	
88-24	som	som	US:----:--:----	
88-25	ligger	ligge	VF:----:sa:----	
88-26	uden	uden	D-:----:--:u---	
88-27	for	for	T-:----:--:----	
88-28	det	det	PP:s-un:--:-3n-	
88-29	,	,	ZD	
88-30	som	som	US:----:--:----	
88-31	de	den	PM:p-u#:--:----	
88-32	fleste	mange	AC:p#u#:--:s---	
88-33	anser	anse	VF:----:sa:----	
88-34	for	for	T-:----:--:----	
88-35	muligt	mulig	AC:siun:--:p---	
88-36	.	.	ZP	

#id=89
#text= Lampeånden sendte mig et blik, der gav mig flashbacks til 'Good morning Vietnam' og 'Dead Poets Society'.
89-1	Lampeånden	Lampeånden	NP:siu#:--:----	
89-2	sendte	sende	VF:----:ta:----	
89-3	mig	jeg	PP:s-uc:--:-1#-	
89-4	et	en	PI:s-un:--:----	
89-5	blik	blik|blik-1-2|blik-1-3|blik-1-4a|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-1-4|blik-1-1	NC:siun:--:----	
89-6	,	,	ZD	
89-7	der	der	US:----:--:----	
89-8	gav	give	VF:----:ta:----	
89-9	mig	jeg	PP:s-uc:--:-1#-	
89-10	flashbacks	flashback	NC:piu#:--:----	
89-11	til	til	D-:----:--:u---	
89-12	'	'	ZA	
89-13	Good	good	XF:----:--:----	
89-14	morning	morning	XS:----:--:----	
89-15	Vietnam	Vietnam	NP:siu#:--:----	
89-16	'	'	ZA	
89-17	og	og	D-:----:--:u---	
89-18	'	'	ZA	
89-19	Dead	Dead	XY:----:--:----	
89-20	Poets	poet	NC:sigc:--:----	
89-21	Society	society	NC:siun:--:----	
89-22	'	'	ZA	
89-23	.	.	ZP	

#id=90
#text=Han sendte mig et undersøgende blik, og et øjeblik følte jeg mig som Matt Damon i 'Good Will Hunting'.
90-1	Han	han	PP:s-nc:--:-3n-	
90-2	sendte	sende	VF:----:ta:----	
90-3	mig	jeg	PP:s-uc:--:-1#-	
90-4	et	en	PI:s-un:--:----	
90-5	undersøgende	undersøge	VP:##u#:s-:----	
90-6	blik	blik|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-1-4|blik-1-4a|blik-2-1-1a|blik-1-2|blik-1-3|blik-1-1	NC:siun:--:----	
90-7	,	,	ZD	
90-8	og	og	CC:----:--:----	
90-9	et	en	PI:s-un:--:----	
90-10	øjeblik	øjeblik	NC:siun:--:----	
90-11	følte	føle	VF:----:ta:----	
90-12	jeg	jeg	PP:s-nc:--:-1n-	
90-13	mig	jeg	PP:s-uc:--:-1#-	
90-14	som	som	US:----:--:----	
90-15	Matt	Matt	NP:siu#:--:----	
90-16	Damon	Damon	NP:siu#:--:----	
90-17	i	i	XS:----:--:----	
90-18	'	'	ZA	
90-19	Good	good	XF:----:--:----	
90-20	Will	Will	XF:----:--:----	
90-21	Hunting	Hunting	NP:siu#:--:----	
90-22	'	'	ZA	
90-23	.	.	ZP	

#id=91
#text= Blikket er fast, attituden afvæbnende, og sportsprogrammet på fladskærmen er gået videre til NBA basketball.
